feature	without_phage	t40_Rif	t90_Rif	t140_Rif	t190_Rif	t40	t90	t140	t190	time_class
g104	0.176465552448204	1.23242522043992	159.648043396022	984.413814712204	2607.57682007584	0.70251208909398	6148.37305622988	11740.2285210035	7547.03785021139	middle
g014	0.19870910947949	13686.5636509076	11222.3233072915	8411.78839010154	7908.06953760488	10523.9768688854	10700.2881626096	2405.19449369962	1096.00030285159	early
g068	0.0407696276345851	0.0355915904178771	17.7826429390943	148.479124425235	547.527592411972	0.0231863595907865	806.914508637236	6209.11104080987	6012.61486732443	middle
g071	0.0176333959940786	0.0461814819739793	13.0219719659807	90.9297825995777	287.539235130394	0.100284031041433	733.10128106821	3946.43643088936	5208.56126485524	middle
g029	0.0841508328400689	24618.2825793047	22787.4167961615	16755.1477431661	13933.543373519	14184.3355179868	17738.6922680309	5805.89927483395	1892.49689667013	early
g080	0.096911409951063	0.0846029608293801	1.72972754260613	46.1158185495637	227.503975336509	0.110230234120133	46.2998824706629	2805.93572968366	6648.85332340574	late
g074	0.104630017823272	0.365364998979978	28.4792751594575	138.357211136873	349.979681697171	0.119009633297842	1344.27588569807	3986.99178190938	4266.75646737778	middle
g053	0.454738154385757	26530.7791528066	36310.2992024252	33561.0802081747	28416.9900564896	8227.9026465559	20607.4401133326	9340.93938681095	2520.63521974863	early
g107	0.606317539181009	5.29310831855609	370.649565988702	2161.88451117075	5237.24519371182	1.20687974280248	12762.5016732816	22076.6355628741	11030.7644343667	middle
g076	0.122520124497717	0.106959183639216	2.73350725645009	53.0756011686389	244.531727285235	0.0696792153505502	33.4167090071031	2084.05296488198	5403.06407595614	late
g030	0.113684538596439	28546.3617185858	25135.3923344188	21028.8026588879	17410.9272041205	15971.8034134	19668.7128575821	6129.14608327452	2056.53880298215	early
g075	0.0767739741170759	2.34580936845099	84.8731815568855	395.898826188421	846.648290453088	0.392963626830863	4807.53118381015	11441.8099739201	11894.5027673561	middle
g059	0.246316500292285	20027.4843220302	22891.1827673578	15206.8481013601	11472.7928016999	8604.81550051791	19821.436995494	6118.33163438668	2219.15359575935	early
g035	0.106037596538383	45477.7244410963	66098.5730704995	75195.5228914837	61678.5219894468	18623.4919727331	33107.0028130604	20099.5597975892	5284.33796322687	early
g041	0.0916526512715479	35447.001651083	20616.3636240188	9045.78608373586	7482.25698857083	23754.9017096981	21329.8030998162	4752.15134058744	1596.26219828732	early
g036	0.0660513520336854	23724.7139216008	17945.8217900738	10656.0745388433	7614.91512924255	13101.5936774552	15975.0265614315	4113.86169625112	1331.56181736815	early
g007	0.0993545547397452	9745.02830154393	8594.02047570842	6818.73226781026	7250.10949755408	5939.64778793821	5286.61532642744	1477.39829876905	723.630867114967	early
g096	0.363790523508606	0.158793249556683	115.455987069838	678.480570367424	1974.21631504801	0.931021515876198	8429.59210790026	41036.4620089391	36687.653790759	middle
g102	0.662982729758674	0.964631889830315	199.440010514181	1181.49355578001	3220.08478967876	0.628415353395149	9807.85993632433	22006.344851239	15437.0595515384	middle
g002	0.213672144831862	15354.3793438657	8554.92633689517	5239.94613030752	5055.91313819317	13693.3541537613	7470.38222122639	1398.7448264004	746.301255608596	early
g061	0.127818292043564	23189.9258295289	29137.234743034	20422.2395377622	15436.0745691611	11541.0769121009	23458.8449298174	10214.5080860677	3155.84563947311	early
g072	0.096911409951063	0.16920592165876	24.4324015393115	141.378973601153	391.273070754998	0.330690702360398	1681.58722478043	7193.56294179576	8236.07458704365	middle
g063	0.556385506542573	25525.342330121	33170.9240353503	27114.5968960954	20115.8354553194	11720.800246388	23395.9355536236	12806.4999700186	3337.44817618065	early
g091	0.27928800033141	0.568904949199138	32.1940431404349	385.464994224493	1463.18111734829	0.476507075054747	3393.33005376532	88123.158917062	158495.121169225	late
g089	0.19542466138892	0.25590647655829	24.1983165103018	293.338271315879	987.330765256223	0.111141227790547	1795.11521074573	28534.2162239577	35359.3227753671	late
g039	0.0866167913115728	20038.9519357221	10220.2076494586	3493.43393332041	2991.57979407068	16672.7234542314	12574.6809295593	1929.03257123441	720.489656308123	early
g003	0.369474750438428	7338.30747947392	6939.56554971258	5887.05284287558	6171.68505403179	4636.22853197572	6462.43847499634	968.718144750255	673.407829831294	early
g077	0.125778638447124	0.109803842778557	3.36744830103107	66.1715282273239	275.549854942175	0.0715323859715755	43.392988027647	2355.17383477563	6427.94387531052	late
